sep=,

word,Freq
------------------------------
нь,77298
оны,26268
юм,22467
онд,22146
байна,18539
байсан,16796
болон,16164
сарын,16097
бөгөөд,14741
ба,13057
гэж,10166
нд,10142
байдаг,9591
улсын,9313
ч,8952
олон,8703
нэг,8616
болсон,7476
байв,7438
үед,7411
Энэ,7403
улс,7173
их,6925
хүн,6859
Монгол,6822
бол,6802
энэ,6728
буюу,6528
р,5972
зэрэг,5948
хамгийн,5834
газар,5606
гэсэн,5439
дээр,5214
дараа,5143
хоёр,5099
болох,4915
байгаа,4885
гэдэг,4881
тус,4705
дахь,4701
ын,4621
болж,4618
мөн,4599
болно,4523
түүний,4487
гол,4130
байжээ,4099
төрсөн,4080
хаан,4013
Монголын,3986
байх,3976
үйл,3942
жилийн,3940
анхны,3913
хүртэл,3701
бий,3581
аймгийн,3454
Мөн,3443
хотод,3272
км,3248
хот,3247
сая,3244
авч,3240
цэргийн,3191
үеийн,3179
Их,3156
өөрийн,3155
нутаг,3138
том,3137
оноос,3134
дэлхийн,3109
тэр,3086
сард,3085
гэх,3055
байлаа,3052
л,3009
төрийн,2976
бусад,2974
жил,2973
боловч,2972
нэр,2932
хэмээн,2920
бүх,2894
өндөр,2893
нэгэн,2851
Улсын,2822
он,2821
төв,2805
болжээ,2801
буй,2769
нар,2753
эсрэг,2750
засгийн,2744
удаа,2721
хэсэг,2717
хувьд,2689
анх,2683
д,2658
эх,2639
аж,2630
бүхий,2619
баруун,2595
тухай,2554
өөр,2524
хэмээх,2508
шинэ,2505
билээ,2490
бага,2469
багийн,2463
Тэрээр,2453
өмнө,2446
дээд,2444
гаруй,2401
орон,2394
маш,2360
эсвэл,2354
зууны,2352
эрх,2323
багт,2302
зүүн,2286
үр,2255
хооронд,2254
хойш,2231
газрын,2225
хааны,2217
хийж,2207
хэдэн,2203
зохион,2197
өдөр,2190
авсан,2170
тухайн,2163
түүнийг,2157
тул,2153
Америкийн,2145
үндсэн,2144
хийсэн,2130
цэрэг,2129
дунд,2123
дахин,2120
зарим,2115
эхэлсэн,2096
ирсэн,2086
аварга,2084
уран,2080
руу,2072
илүү,2067
хотын,2045
ажиллаж,2045
арга,2028
гадна,1978
талаар,1967
албан,1967
гурван,1966
нас,1956
хүний,1956
Харин,1946
нийт,1941
хэл,1933
эдийн,1910
монгол,1875
Оросын,1861
орчим,1849
үе,1832
нутгийн,1816
хувь,1813
бие,1805
баг,1803
Түүний,1798
сайн,1787
зүйл,1784
мэт,1776
нарын,1751
ямар,1742
Дэлхийн,1739
хойд,1728
гарч,1726
нутагт,1711
ийн,1710
уг,1706
төрлийн,1699
тулд,1664
байдлаар,1663
орж,1662
гарсан,1661
бүр,1657
тэрээр,1656
хамт,1647
дугаар,1645
чухал,1635
дэх,1627
тодорхой,1626
Тэр,1621
хүү,1599
систем,1591
байгуулсан,1589
урт,1585
шигшээ,1577
цаг,1573
бүрэн,1569
улсад,1559
болгон,1541
оршин,1540
байж,1537
сум,1534
кино,1530
дотор,1527
өргөн,1525
учир,1519
үздэг,1519
мужийн,1517
тал,1515
хүлээн,1509
хөлбөмбөгчин,1504
Английн,1501
м,1495
мянган,1493
орны,1492
болдог,1480
үг,1479
тоо,1459
зөвхөн,1457
Хятадын,1453
Японы,1443
тоглолтонд,1440
ард,1438
АНУ-,1434
засаг,1429
бус,1426
шилдэг,1425
дайны,1424
сумын,1418
хоёрдугаар,1412
Өмнөд,1403
бас,1403
аймаг,1400
боломжтой,1398
авах,1395
хэсэгт,1390
дайн,1366
байдал,1363
аль,1357
ны,1351
өмнөд,1347
дарга,1347
тоглодог,1342
хүчин,1328
цагаан,1328
хүч,1324
хэд,1324
Хятад,1307
жижиг,1306
Гэвч,1303
хүмүүс,1296
ажиллагаа,1287
муж,1277
голын,1273
ерөнхий,1271
зүйн,1270
сургууль,1269
Орос,1268
Тус,1266
дагуу,1264
ам,1263
хийх,1261
тэдний,1258
төрөл,1258
хан,1255
явдал,1251
Германы,1247
Энэхүү,1247
шинжлэх,1247
биш,1239
орсон,1238
нэгдүгээр,1235
далайн,1234
томоохон,1232
байгуулагдсан,1231
оролцож,1229
хэмжээний,1226
гаргасан,1226
хүнд,1219
Европын,1217
ажээ,1209
ухааны,1203
улсыг,1198
бүрийн,1191
медаль,1181
Улс,1161
хэмжээ,1160
шууд,1157
дуу,1155
гаралтай,1153
хугацаанд,1153
холбоотой,1153
Алтан,1151
байр,1150
нийгмийн,1149
хошуу,1147
мэдээллийн,1147
дөрвөн,1145
Төв,1141
үндэсний,1131
гаргаж,1128
хагас,1125
гишүүн,1123
эртний,1122
энэхүү,1121
гэр,1114
шинж,1113
эхний,1113
санах,1112
оруулсан,1106
ажил,1106
хар,1105
лигийн,1104
тусгаар,1104
төр,1104
Олон,1100
мэргэжлийн,1097
нарийн,1084
амын,1083
хууль,1067
сайд,1065
харин,1065
адил,1063
орших,1056
үүрэг,1055
олимпийн,1053
Тэд,1053
тоглож,1049
бүс,1048
одоогийн,1046
тэд,1040
нэртэй,1035
мэдээлэл,1031
оронд,1029
ёсоор,1027
гэрээ,1021
нийслэл,1021
эхлэн,1016
Чингис,1009
ёстой,1007
хүнтэй,1006
Францын,999
хөгжмийн,998
Шинэ,996
хүчний,993
шашны,992
жүжигчин,991
амжилт,991
эзэн,988
хэрэгтэй,987
н,983
цахилгаан,981
бичиг,981
ирж,977
наймдугаар,977
санал,975
аад,974
үзэл,974
Д.,974
хаант,970
одоо,970
дэд,967
ганц,967
болов,967
Азийн,964
шигшээд,964
Япон,963
байгуулж,953
эзэнт,952
үеэс,951
гийн,950
өгсөн,950
Уг,948
оролцсон,944
зах,942
ихэнх,941
орчин,938
Эдгээр,937
тооны,935
тусгай,931
хэлний,930
талаараа,929
бүтээл,928
Хойд,924
уул,924
Ардын,923
төлөө,921
уулын,921
МЭӨ,915
байгаад,915
амжилттай,912
системийн,911
холбоо,908
усны,905
зам,902
хамтран,902
хамгаалах,900
олж,898
Баруун,895
Үндэсний,895
Үүний,892
гадаад,891
зураг,888
холбооны,887
дараах,883
бичсэн,882
хувийн,882
Гэхдээ,881
см,881
гэнэ,880
ёсны,880
оноо,877
хэрэг,874
ус,870
таван,865
гүн,860
болгож,860
нэрлэдэг,859
хүртсэн,856
сар,856
байдлыг,852
улмаар,849
үл,847
ДАШТ-,846
ЗХУ-,845
дор,845
ухаан,842
үйлдлийн,840
дэлхий,840
үеэр,838
улаан,837
Нэгдсэн,835
дээрх,832
ашиглан,831
оршдог,831
сургуульд,830
утга,828
хэлээр,826
рүү,826
газарт,826
хүчтэй,825
гуравдугаар,825
гэхэд,824
долоодугаар,818
учраас,817
эцэг,815
тохиолдолд,811
нуур,808
компани,808
ихээхэн,807
дүнд,807
болгосон,807
сагсан,806
салбар,806
янз,806
програм,805
байгууллага,804
сургуулийн,803
formula_,796
ван,796
талд,796
түүхэнд,792
усан,786
түүх,786
тамирчин,784
сүүлийн,784
соёл,782
явуулж,780
Улаанбаатар,780
Зүүн,778
Бүгд,776
түүхэн,776
мөнгөн,776
турш,771
эдгээр,767
байхад,766
хөлбөмбөгийн,761
нийтийн,761
эмэгтэй,759
ажиллагааг,758
ойн,756
өмнөх,755
тэмцээнд,754
хүрэл,753
үзэж,753
улиралд,751
шашин,748
эд,748
ой,748
улмаас,748
зуунд,747
бичгийн,746
процесс,742
үлдсэн,742
нөлөө,742
ажиллах,741
цомог,740
тоглогч,738
алтан,738
ашигладаг,738
амьдарч,736
ном,735
лам,735
ашиглаж,735
толгой,731
дээш,730
үүссэн,727
ач,725
шаардлагатай,725
кг,724
гүрний,723
тоглолт,723
Ерөнхий,722
гар,721
шиг,721
II,720
ашиглах,720
захиргааны,720
хатан,719
байхдаа,719
агаарын,717
эзлэн,716
арван,716
Хүн,716
Солонгос,714
хэлбэр,714
дайнд,713
Герман,711
Зөвлөлтийн,710
үсэг,708
хэсгийг,708
бүрэлдэхүүнд,707
ижил,707
Англи,706
шувуу,704
Үүнд,704
болоод,704
Монголд,703
багтай,701
бүтээсэн,700
тавдугаар,700
сууж,699
барьж,698
байгалийн,698
талын,697
Засгийн,696
хил,692
асуудал,691
бүгд,690
суурь,687
нам,686
зүй,686
зорилгоор,686
хуучин,683
бодлого,682
дотоод,680
хилийн,680
баримт,680
алдартай,678
НБА-,677
Богд,677
хүмүүсийн,676
бараг,674
тэргүүн,674
бичиж,672
Холбооны,671
есдүгээр,671
түүнд,669
хэрэглэдэг,668
Найрамдах,667
мэдээллийг,664
АНУ,663
байгуулах,662
үедээ,661
давуу,660
өөрөө,659
харилцаа,659
хэлбэл,659
түүхтэй,658
хэдий,658
энгийн,657
Хамгийн,656
замаар,655
бодит,655
түмэн,653
ихэвчлэн,651
хэрэглэж,650
нэгдсэн,650
зургаадугаар,649
бөмбөг,649
урлагийн,649
цол,648
Италийн,648
ардын,648
Солонгосын,648
чөлөөт,647
замын,646
манай,644
Нью,642
сэтгүүл,641
соёлын,641
багш,640
оруулж,640
Халхын,637
монголын,637
санаа,637
Үүнээс,637
тоглосон,636
сэтгэл,636
зайд,635
зуун,635
хятад,634
Жишээ,634
хэсгийн,634
нэрээр,634
улам,634
Улаан,633
онгоц,632
орох,624
эрчим,624
нэгж,624
хоорондоо,623
ажиллагааны,623
метр,622
киноны,620
аас,619
зохиолч,618
жилд,617
Ази,616
бүлэг,616
харилцан,614
талаас,614
өгч,613
хийдэг,612
өөртөө,612
төрөлд,609
жишээ,608
цагийн,607
түүхийн,606
хотыг,604
Хар,603
хатуу,603
нэрийг,603
авчээ,603
баатар,602
армийн,602
радио,602
удаагийн,602
биеийн,601
богино,600
Ийнхүү,600
болгох,600
урд,599
ерөнхийлөгч,597
ий,597
зуны,596
түүнээс,596
Зөвлөлт,595
нутгийг,595
хүрээнд,594
өөрсдийн,593
дөрөвдүгээр,593
онцгой,593
мал,593
нарыг,591
талбай,591
шинээр,590
үүнийг,590
хүрч,589
Европ,586
эхэлжээ,584
үндэстэн,583
чанар,581
зүгт,580
тогтмол,580
гэдгийг,580
суурин,580
төмөр,580
ахуйн,579
гарах,576
метрийн,574
тогтоосон,574
хэрэглэх,573
удаан,573
Б.,572
чадсан,571
хотноо,569
бүтэц,569
дундаж,569
аюулгүй,569
хөнгөн,568
хугацаа,568
хамтлаг,567
арал,567
өөрчлөлт,566
дүгээр,566
Зарим,564
гоол,563
Франц,563
эргэн,563
нөхцөл,563
дэлхийд,563
хүрсэн,563
онцлог,563
зүйлийн,563
шалгаруулах,562
г,562
ийм,562
настай,562
т,561
овгийн,560
нисэх,560
мөрний,560
зохиол,560
төдийгүй,560
Өмнө,559
мөнгө,556
оршино,555
залуу,555
дүү,554
байхгүй,552
амь,551
шар,551
асуудлыг,550
Цагаан,549
гарын,549
бид,549
тэмцээн,548
БНМАУ-,547
онуудад,547
Нэг,547
сүм,546
техник,546
хоорондын,546
Тухайн,545
ажлыг,544
олимпод,543
химийн,543
цагт,543
I,542
хөгжлийн,542
боломж,541
өдрийн,540
алба,538
түмний,538
загвар,537
утгатай,536
намын,536
овог,535
Испанийн,534
ажилладаг,534
гаргах,533
аравдугаар,532
газрыг,531
шагнал,530
ордог,530
Учир,530
хамгаалагч,529
нууц,528
Өвөр,527
эрдэмтэн,527
амьдардаг,526
ахуй,525
хугацааны,525
байгууллагын,524
тийм,523
хожим,522
гүрэн,521
ялгаатай,521
тооллын,520
зэвсэг,519
байгуулжээ,519
Ийм,519
жанжин,518
судалгаа,518
ах,517
Хэрэв,516
код,515
арми,514
ёс,514
ургамал,514
үнэ,514
элссэн,512
сайхны,512
мэдээ,512
улирал,511
хүнийг,511
Америк,511
эрхийг,511
Ромын,510
судалгааны,510
хурдан,509
удирдлага,509
уу,508
цэргийг,507
удирдах,507
туслах,507
харьцангуй,506
иржээ,506
ажлын,505
явцад,505
дараагийн,504
тэрбум,504
сонин,504
гарган,503
хөрөнгө,503
хошууны,502
эзэлж,501
эхэн,500
of,500
авдаг,500
даяар,500
хэрхэн,499
тэнгисийн,497
эрс,497
барилга,497
хэмжээнд,497
Манжийн,496
харьцаагаар,496
арваннэгдүгээр,495
хүртэлх,495
барилгын,494
хувийг,494
зориулсан,494
мод,493
техникийн,493
сан,493
машин,492
доор,491
Түүнчлэн,491
хамтлагийн,490
тун,489
орос,489
лигт,487
хүүхэд,487
нөгөө,487
зэргийг,487
төстэй,486
даасан,486
зорилго,484
Премьер,483
тэднийг,483
амьд,482
үнэн,482
хувьсгалын,481
хэмжээгээр,481
байлдааны,480
англи,480
үлдэж,479
сайхан,479
хүртэж,478
худалдан,477
насны,476
Түүнийг,476
үүсгэн,475
системд,475
Юань,475
Манж,474
Бүх,474
тавьсан,474
доод,474
салбарт,473
бүтээгдэхүүн,473
С.,473
Монголчууд,472
компьютерийн,472
хэлнэ,472
төхөөрөмж,471
дуучин,471
хэн,471
эрэгтэй,471
өгөх,471
эхлээд,470
хөдөлгөөн,470
чадаагүй,469
хүчээр,469
цөөн,469
үйлдвэр,468
өөрийгөө,468
байдалд,468
иргэний,468
явсан,467
Өөрөөр,467
үзүүлсэн,466
Улмаар,466
үүний,466
чулуун,464
бөхийн,464
Тухайлбал,464
нуурын,464
зөв,463
эрүүл,462
явж,462
хүчийг,461
цэг,460
байрладаг,460
гээд,460
арванхоёрдугаар,459
дэвсгэр,459
нөөц,459
зэвсгийн,458
шагналыг,458
эцэст,457
бөх,457
өгөгдлийн,456
алдарт,456
гурав,456
нуруу,455
жилээр,455
хүчирхэг,453
амьдралын,453
бут,451
үйлдвэрийн,451
амьтан,450
гараагаа,449
Гадаад,449
анги,449
цомын,448
хэлбэртэй,448
ноён,446
болохыг,445
ЗХУ,444
Тиймээс,444
мянга,443
энд,442
эхээр,441
худалдааны,441
үндэс,441
ашиг,441
эрэг,441
орно,440
ойр,440
хөгжиж,439
Далай,438
халуун,438
спортын,438
тэмцээний,438
байгааг,438
ОХУ-,437
амжилтыг,437
Энэтхэг,436
уур,436
дотроо,436
эрхтэй,436
өнгөтэй,436
суманд,436
байдлын,433
Халх,432
зүг,432
бослого,431
чадвар,431
ялангуяа,431
тавьж,431
Дээд,430
хангах,430
түр,430
Британийн,429
орнуудын,429
компьютер,429
өгдөг,428
тогтоох,428
даргаар,427
хотоос,426
зэргээр,426
бөмбөгчин,425
бөмбөгийн,425
Ингээд,425
ихэд,425
хэв,425
ойролцоо,424
тоглолтоо,424
юу,424
тэнд,424
кинонд,423
ойролцоогоор,423
онол,423
өвөрмөц,423
удирдагч,422
Ж.,422
байвал,422
хамгаалагчаар,421
тогтсон,421
хөл,421
телевизийн,419
ялалт,419
аргаар,419
аливаа,419
хамтаар,418
Дорнод,418
технологийн,418
C,418
боломжгүй,418
Бага,417
асар,417
нэмэлт,417
худалдаа,416
удалгүй,416

